trade_id,symbol,direction,entry_date,exit_date,entry_price,exit_price,stop_loss,take_profit,result_r,profit_usd,win,confluence_score,quality_factors
1,EUR_AUD,bullish,2017-01-02 22:00:00+00:00,2017-01-10 22:00:00+00:00,1.44255348,1.4235895975734842,1.4243395975734843,1.4534818094559094,-1.04,-1249.41,0,15,0
2,EUR_AUD,bearish,2017-01-02 22:00:00+00:00,2017-01-19 22:00:00+00:00,1.4535590999999999,1.4034565418814646,1.478304870373983,1.43871163777561,2.02,2429.63,1,15,0
3,NZD_JPY,bullish,2017-01-02 22:00:00+00:00,2017-01-29 22:00:00+00:00,81.990716,83.81369550650697,80.67267467603683,82.7815407943779,1.38,1659.72,1,15,0
4,EUR_NZD,bearish,2017-01-02 22:00:00+00:00,2017-01-17 22:00:00+00:00,1.5055494,1.4814090933580908,1.5228343351679927,1.4951784388992044,1.4,1675.93,1,15,0
5,EUR_NZD,bearish,2017-01-02 22:00:00+00:00,2017-01-30 22:00:00+00:00,1.50179814,1.463747434015905,1.5287430747111772,1.4856311791732937,1.41,1694.6,1,15,0
6,AUD_NZD,bearish,2017-01-02 22:00:00+00:00,2017-01-09 22:00:00+00:00,1.0444912800000001,1.052966860518399,1.052216860518399,1.0398559316889608,-1.1,-1316.5,0,15,0
7,NZD_USD,bullish,2017-01-02 22:00:00+00:00,2017-01-05 22:00:00+00:00,0.69159118,0.7024112082627482,0.6835564381508693,0.6964120251094784,1.35,1615.99,1,15,0
8,NZD_USD,bullish,2017-01-02 22:00:00+00:00,2017-01-05 22:00:00+00:00,0.69174,0.7001822138495184,0.6853565181600567,0.695570089103966,1.32,1587.01,1,15,0
9,CAD_JPY,bearish,2017-01-02 22:00:00+00:00,2017-01-17 22:00:00+00:00,87.868112,86.16225991286888,89.1048148382855,87.1260902970287,1.38,1655.23,1,15,0
10,USD_JPY,bearish,2017-01-02 22:00:00+00:00,2017-01-05 22:00:00+00:00,117.56867799999999,115.90571804670415,118.77559463423322,116.84452801946006,1.38,1653.43,1,15,0
11,AUD_CHF,bearish,2017-01-02 22:00:00+00:00,2017-01-10 22:00:00+00:00,0.74244526,0.7519206060436593,0.7511706060436593,0.7372100523738044,-1.09,-1303.15,0,15,0
12,AUD_CHF,bullish,2017-01-02 22:00:00+00:00,2017-01-19 22:00:00+00:00,0.73681746,0.7604836111832204,0.7249361212247103,0.7439462632651739,1.99,2390.25,1,14,0
13,AUD_CAD,bullish,2017-01-03 22:00:00+00:00,2017-01-04 22:00:00+00:00,0.97300362,0.967270042484378,0.968020042484378,0.9759937665093731,-1.15,-1380.59,0,15,0
14,GBP_JPY,bullish,2017-01-03 22:00:00+00:00,2017-01-08 22:00:00+00:00,144.468,141.43855920734336,141.51355920734335,146.24066447559397,-1.03,-1230.46,0,19,0
15,USD_CHF,bullish,2017-01-03 22:00:00+00:00,2017-01-16 22:00:00+00:00,1.02108,1.0016640839088138,1.0024140839088138,1.0322795496547117,-1.04,-1248.22,0,15,0
16,GBP_USD,bearish,2017-01-04 22:00:00+00:00,2017-01-10 22:00:00+00:00,1.24187,1.213316896497212,1.2622193774324917,1.229660373540505,1.4,1683.77,1,15,0
17,USD_CAD,bullish,2017-01-04 22:00:00+00:00,2017-01-11 22:00:00+00:00,1.32696372,1.3028264959528335,1.3035764959528335,1.3409960544282997,-1.03,-1238.48,0,15,0
18,EUR_JPY,bearish,2017-01-04 22:00:00+00:00,2017-02-07 22:00:00+00:00,122.37,119.16914879610732,124.64489666936993,121.00506199837805,1.41,1688.44,1,14,0
19,EUR_USD,bearish,2017-01-04 22:00:00+00:00,2017-01-11 22:00:00+00:00,1.05507342,1.0676830489119356,1.0683988457437479,1.0470781645537512,-0.95,-1135.54,0,15,0
20,USD_CHF,bullish,2017-01-04 22:00:00+00:00,2017-01-05 22:00:00+00:00,1.01975356,1.009040522716335,1.009790522716335,1.025731382370199,-1.08,-1290.33,0,15,0
21,USD_JPY,bullish,2017-01-04 22:00:00+00:00,2017-01-16 22:00:00+00:00,115.44844,113.34968565033155,113.1745587082377,116.81276877505739,-0.92,-1107.58,0,15,0
22,BTC_USD,bullish,2017-01-05 00:00:00+00:00,2017-01-07 00:00:00+00:00,935.2012384033203,1046.670342482038,852.5838050153219,984.7716984361193,1.35,1619.06,1,19,0
23,BTC_USD,bullish,2017-01-05 00:00:00+00:00,2017-01-07 00:00:00+00:00,944.1495837402343,854.8995306538733,852.295591508368,999.2619790793541,-0.97,-1165.98,0,19,0
24,BTC_USD,bullish,2017-01-05 00:00:00+00:00,2017-01-07 00:00:00+00:00,952.5879506835937,855.8999953394853,852.3767649036967,1012.7146621515319,-0.96,-1157.81,0,19,0
25,XAG_USD,bearish,2017-01-05 00:00:00+00:00,2017-01-31 00:00:00+00:00,16.704107572555543,17.361127084998568,17.353627084998568,16.31439586508973,-1.01,-1213.86,0,15,0
26,AUD_CAD,bearish,2017-01-05 22:00:00+00:00,2017-01-10 22:00:00+00:00,0.9715847,0.9786578207459988,0.9786893300516841,0.9673219219689895,-1.0,-1194.68,0,15,0
27,USD_CHF,bullish,2017-01-05 22:00:00+00:00,2017-01-12 22:00:00+00:00,1.01802,1.0043914601050485,1.0051414601050486,1.0257471239369707,-1.06,-1269.88,0,15,0
28,NZD_USD,bullish,2017-01-05 22:00:00+00:00,2017-01-12 22:00:00+00:00,0.69603,0.7109223750099825,0.6851672395764011,0.7025476562541594,1.37,1645.15,1,15,0
29,USD_JPY,bullish,2017-01-05 22:00:00+00:00,2017-01-16 22:00:00+00:00,115.44844,113.35092156102215,113.175947371935,116.811935576839,-0.92,-1107.6,0,15,0
30,USD_JPY,bullish,2017-01-05 22:00:00+00:00,2017-01-16 22:00:00+00:00,115.364,113.30829329237771,113.13848684536822,116.69930789277907,-0.92,-1108.44,0,15,0
31,AUD_CAD,bullish,2017-01-08 22:00:00+00:00,2017-01-12 22:00:00+00:00,0.97184,0.9833905862038589,0.9632979262473202,0.9769652442516079,1.35,1622.64,1,15,0
32,NZD_CAD,bullish,2017-01-08 22:00:00+00:00,2017-01-12 22:00:00+00:00,0.92892,0.9400228505044084,0.920688853816383,0.9338586877101701,1.35,1618.66,1,15,0
33,NZD_CAD,bullish,2017-01-08 22:00:00+00:00,2017-01-19 22:00:00+00:00,0.92878,0.9542942069702843,0.9200976175304846,0.9339894294817094,2.94,3526.34,1,15,0
34,GBP_JPY,bearish,2017-01-08 22:00:00+00:00,2017-01-10 22:00:00+00:00,143.2163,139.7876116388805,145.64941691744409,141.75642984953353,1.41,1691.01,1,19,0
35,USD_CHF,bullish,2017-01-08 22:00:00+00:00,2017-01-11 22:00:00+00:00,1.01893,1.0097006990906325,1.0094026956074522,1.0246463826355285,-0.97,-1162.47,0,15,0
36,AUD_NZD,bullish,2017-01-09 22:00:00+00:00,2017-01-11 22:00:00+00:00,1.0477074,1.0581466375461677,1.0399370961484946,1.0523695823109032,1.34,1612.17,1,14,0
37,NZD_CAD,bullish,2017-01-09 22:00:00+00:00,2017-01-17 22:00:00+00:00,0.92980756,0.9421986647255223,0.9206817928294985,0.9352830203023009,1.36,1629.38,1,15,0
38,AUD_CAD,bearish,2017-01-10 22:00:00+00:00,2017-01-11 22:00:00+00:00,0.97706258,0.9869935092864293,0.9862435092864292,0.9715540224281425,-1.08,-1298.03,0,15,0
39,EUR_JPY,bullish,2017-01-10 22:00:00+00:00,2017-01-15 22:00:00+00:00,122.55223600000001,120.96000081284167,121.03500081284167,123.46257711229501,-1.05,-1259.32,0,14,0
40,CHF_JPY,bullish,2017-01-10 22:00:00+00:00,2017-01-29 22:00:00+00:00,113.551868,115.18202627328068,112.36773031022175,114.26235061386696,1.38,1652.0,1,15,0
41,AUD_USD,bearish,2017-01-10 22:00:00+00:00,2017-01-16 22:00:00+00:00,0.7391482,0.7564621250153758,0.7557121250153758,0.7292098449907746,-1.05,-1254.33,0,15,0
42,NZD_USD,bullish,2017-01-10 22:00:00+00:00,2017-01-17 22:00:00+00:00,0.69699306,0.719782385236303,0.6878515744713387,0.7024779513171968,2.49,2991.55,1,15,0
43,NZD_CHF,bullish,2017-01-10 22:00:00+00:00,2017-01-12 22:00:00+00:00,0.70942506,0.7186799490611677,0.7024772203741892,0.7135937637754866,1.33,1598.46,1,15,0
44,EUR_USD,bearish,2017-01-11 22:00:00+00:00,2017-01-16 22:00:00+00:00,1.05824,1.069718402897374,1.068968402897374,1.0518029582615758,-1.07,-1283.89,0,15,0
45,NZD_CHF,bullish,2017-01-11 22:00:00+00:00,2017-03-06 22:00:00+00:00,0.71806286,0.706300579591909,0.705689511226864,0.7254868692638816,-0.95,-1140.74,0,14,0
46,CAD_JPY,bullish,2017-01-11 22:00:00+00:00,2017-01-17 22:00:00+00:00,86.843958,85.90170553389709,85.86951702685066,87.4286225838896,-0.97,-1160.36,0,15,0
47,SPX500_USD,bullish,2017-01-12 00:00:00+00:00,2017-01-30 00:00:00+00:00,2249.7155,2290.2589884949607,2221.0394663229436,2266.9211202062334,1.41,1696.61,1,15,0
48,NZD_CAD,bearish,2017-01-12 22:00:00+00:00,2017-01-17 22:00:00+00:00,0.93302246,0.9452281225092589,0.9444781225092589,0.9261490624944446,-1.07,-1278.56,0,15,0
49,NZD_CHF,bullish,2017-01-15 22:00:00+00:00,2017-03-06 22:00:00+00:00,0.72118376,0.7066589125210583,0.705706403282088,0.7304701740307471,-0.94,-1126.15,0,15,0
50,GBP_USD,bearish,2017-01-16 22:00:00+00:00,2017-01-22 22:00:00+00:00,1.23219676,1.2489885613043674,1.2482385613043674,1.2225716792173793,-1.05,-1256.1,0,15,0
51,AUD_NZD,bullish,2017-01-16 22:00:00+00:00,2017-01-24 22:00:00+00:00,1.0487,1.0407991162853323,1.0406652991970027,1.0535208204817983,-0.98,-1180.01,0,14,0
52,GBP_CHF,bullish,2017-01-16 22:00:00+00:00,2017-01-23 22:00:00+00:00,1.22354242,1.2498567969066845,1.2047477138148026,1.2348192437111185,1.4,1680.11,1,15,0
53,BTC_USD,bullish,2017-01-17 00:00:00+00:00,2017-02-09 00:00:00+00:00,843.5417772216797,1060.9313069217383,734.1064829637436,909.2029537764414,1.99,2383.76,1,19,0
54,USD_CAD,bullish,2017-01-17 22:00:00+00:00,2017-01-30 22:00:00+00:00,1.32696372,1.2983006918667586,1.2990506918667586,1.3437115368799448,-1.03,-1232.24,0,15,0
55,USD_CAD,bullish,2017-01-17 22:00:00+00:00,2017-01-30 22:00:00+00:00,1.32703,1.2966926781912358,1.2974426781912358,1.3447823930852585,-1.03,-1230.42,0,15,0
56,CAD_JPY,bullish,2017-01-17 22:00:00+00:00,2017-01-19 22:00:00+00:00,86.843958,85.77313047438258,85.84813047438259,87.44145451537045,-1.08,-1290.38,0,15,0
57,EUR_JPY,bearish,2017-01-18 22:00:00+00:00,2017-02-07 22:00:00+00:00,122.70638600000001,119.55280610767716,124.27747110575322,121.76373493654808,2.01,2408.71,1,15,0
58,EUR_JPY,bearish,2017-01-18 22:00:00+00:00,2017-02-08 22:00:00+00:00,122.55244,120.1554779500214,124.26908031248514,121.52245581250892,1.4,1675.57,1,15,0
59,EUR_CAD,bearish,2017-01-18 22:00:00+00:00,2017-02-15 22:00:00+00:00,1.4203,1.3882596177682023,1.4430710987720816,1.406637340736751,1.41,1688.48,1,15,0
60,GBP_CAD,bearish,2017-01-18 22:00:00+00:00,2017-03-20 21:00:00+00:00,1.63890048,1.6643422989960854,1.6666440968495342,1.6222543098902795,-0.92,-1100.44,0,15,0
61,USD_JPY,bullish,2017-01-18 22:00:00+00:00,2017-01-22 22:00:00+00:00,115.44844,112.96917022999587,113.04417022999587,116.89100186200248,-1.03,-1237.43,0,15,0
62,CAD_CHF,bullish,2017-01-19 22:00:00+00:00,2017-01-25 22:00:00+00:00,0.75321912,0.7675704259376125,0.7427321019877692,0.7595113308073386,1.37,1642.18,1,15,0
63,EUR_CAD,bearish,2017-01-19 22:00:00+00:00,2017-02-15 22:00:00+00:00,1.42161898,1.3781086339400852,1.4431568612943626,1.4086962512233825,2.02,2424.21,1,15,0
