trade_id,symbol,direction,entry_date,exit_date,entry_price,exit_price,stop_loss,take_profit,result_r,profit_usd,win,confluence_score,quality_factors
1,AUD_CHF,bullish,2024-01-01 22:00:00+00:00,2024-01-02 22:00:00+00:00,0.57826576,0.5739044763204615,0.5746544763204615,0.580432530207723,-1.21,-434.77,0,15,0
2,GBP_USD,bullish,2024-01-01 22:00:00+00:00,2024-02-04 22:00:00+00:00,1.26974,1.2580220671611868,1.2573047019968104,1.277201178801914,-0.94,-339.23,0,15,0
3,USD_CAD,bullish,2024-01-01 22:00:00+00:00,2024-01-03 22:00:00+00:00,1.32324844,1.33599151272157,1.3140381514528532,1.328774613128288,1.38,498.08,1,15,0
4,EUR_USD,bullish,2024-01-01 22:00:00+00:00,2024-01-22 22:00:00+00:00,1.09648308,1.083362874361329,1.084112874361329,1.1039052033832026,-1.06,-381.83,0,15,0
5,NZD_CAD,bearish,2024-01-01 22:00:00+00:00,2024-01-07 22:00:00+00:00,0.83816638,0.8299726975445495,0.8442712826999662,0.8345034383800203,1.34,483.17,1,14,0
6,NAS100_USD,bullish,2024-01-02 00:00:00+00:00,2024-01-05 00:00:00+00:00,16752.9439296875,16426.886529742103,16427.636529742103,16948.128369654736,-1.0,-360.83,0,20,0
7,NAS100_USD,bullish,2024-01-02 00:00:00+00:00,2024-01-25 00:00:00+00:00,16650.591,17641.96994972787,16275.494988760729,16875.64860674356,2.64,951.48,1,20,0
8,AUD_CAD,bearish,2024-01-02 22:00:00+00:00,2024-01-18 22:00:00+00:00,0.89879,0.8853873962061224,0.9084504804053772,0.8929937117567737,1.39,499.45,1,15,0
9,NZD_USD,bullish,2024-01-02 22:00:00+00:00,2024-01-15 22:00:00+00:00,0.62343006,0.6132830141544849,0.614033014154485,0.629068287507309,-1.08,-388.73,0,15,0
10,GBP_NZD,bullish,2024-01-02 22:00:00+00:00,2024-01-04 22:00:00+00:00,2.0169395,2.0406910740417765,2.0002148760806984,2.0269742743515806,1.42,511.26,1,15,0
11,GBP_AUD,bullish,2024-01-02 22:00:00+00:00,2024-01-11 22:00:00+00:00,1.87058702,1.906212685452898,1.8534690597868717,1.8808577961278772,2.08,749.23,1,15,0
12,EUR_GBP,bearish,2024-01-02 22:00:00+00:00,2024-01-17 22:00:00+00:00,0.86642936,0.8574631103502073,0.8730616123206777,0.8624500086075935,1.35,486.69,1,15,0
13,USD_JPY,bearish,2024-01-02 22:00:00+00:00,2024-01-03 22:00:00+00:00,142.914976,144.66407896666286,144.58907896666287,141.91051422000228,-1.04,-376.13,0,15,0
14,BTC_USD,bullish,2024-01-03 00:00:00+00:00,2024-01-05 00:00:00+00:00,42099.40234375,45216.917405770124,39966.28626045981,43379.27199372411,1.46,526.13,1,20,0
15,BTC_USD,bullish,2024-01-03 00:00:00+00:00,2024-01-09 00:00:00+00:00,42156.90234375,46781.26681529805,39977.201415962685,43464.72290042239,2.12,763.76,1,20,0
16,BTC_USD,bullish,2024-01-03 00:00:00+00:00,2024-01-09 00:00:00+00:00,42265.1875,47088.089086582564,39992.057341608204,43629.06559503508,2.12,763.81,1,20,0
17,XAU_USD,bullish,2024-01-03 00:00:00+00:00,2024-01-17 00:00:00+00:00,2034.8520222167967,2012.5602079748533,2009.66289042321,2049.965501292949,-0.88,-318.59,0,20,0
18,ETH_USD,bullish,2024-01-03 00:00:00+00:00,2024-01-12 00:00:00+00:00,2254.2126884765626,2708.9094710278778,2082.2762867558386,2357.374529508997,2.64,952.04,1,15,0
19,EUR_AUD,bullish,2024-01-03 22:00:00+00:00,2024-01-11 22:00:00+00:00,1.62351632,1.645441784095614,1.6080381875115264,1.6328031994930843,1.42,509.96,1,15,0
20,AUD_CAD,bullish,2024-01-03 22:00:00+00:00,2024-01-15 22:00:00+00:00,0.89488452,0.8875571983100655,0.8883071983100655,0.8988309130139606,-1.11,-401.05,0,15,0
21,GBP_JPY,bullish,2024-01-03 22:00:00+00:00,2024-01-17 22:00:00+00:00,182.284532,189.3329445361341,177.4221343644136,185.20197058135184,1.45,521.85,1,20,0
22,GBP_NZD,bullish,2024-01-03 22:00:00+00:00,2024-01-07 22:00:00+00:00,2.0194989,2.0425847496645617,2.0032286954508107,2.0292610227295134,1.42,510.81,1,15,0
23,GBP_CAD,bullish,2024-01-03 22:00:00+00:00,2024-03-05 22:00:00+00:00,1.69573132,1.731857900220599,1.670559592886963,1.710834356267822,1.44,516.67,1,15,0
24,XAU_USD,bullish,2024-01-04 00:00:00+00:00,2024-01-17 00:00:00+00:00,2044.3255476074216,2009.5583982501237,2009.6333982501237,2065.1408372218,-1.0,-360.78,0,20,0
25,GBP_NZD,bullish,2024-01-04 22:00:00+00:00,2024-01-22 22:00:00+00:00,2.04042942,2.100430956029315,1.998960794724017,2.06531059516559,1.45,520.89,1,15,0
26,GBP_AUD,bearish,2024-01-04 22:00:00+00:00,2024-01-16 22:00:00+00:00,1.8966937199999998,1.9238848292813062,1.9231348292813062,1.880829054431216,-1.03,-370.21,0,15,0
27,EUR_GBP,bullish,2024-01-04 22:00:00+00:00,2024-01-22 22:00:00+00:00,0.86091054,0.8540918296495564,0.8548418296495565,0.8645517662102661,-1.12,-404.49,0,15,0
28,AUD_USD,bullish,2024-01-04 22:00:00+00:00,2024-01-31 22:00:00+00:00,0.6658415599999999,0.6503446137543865,0.6510946137543865,0.674689727747368,-1.05,-378.31,0,15,0
29,NZD_CAD,bullish,2024-01-04 22:00:00+00:00,2024-01-14 22:00:00+00:00,0.82872252,0.8393621346666762,0.8209480389988558,0.8333872086006865,1.37,492.67,1,15,0
30,GBP_CAD,bearish,2024-01-04 22:00:00+00:00,2024-01-23 22:00:00+00:00,1.69916826,1.7179649396103862,1.7172149396103862,1.6883402522337683,-1.04,-374.96,0,14,0
31,BTC_USD,bullish,2024-01-05 00:00:00+00:00,2024-01-09 00:00:00+00:00,42884.62475,47140.47646183103,39974.487062743334,44630.707362354005,1.46,526.47,1,20,0
32,NAS100_USD,bullish,2024-01-08 00:00:00+00:00,2024-01-22 00:00:00+00:00,16720.0,17501.78874768574,16424.144140761535,16897.51351554308,2.64,951.29,1,20,0
33,NAS100_USD,bullish,2024-01-08 00:00:00+00:00,2024-01-23 00:00:00+00:00,16752.9439296875,17601.13385889894,16431.983653993193,16945.520095104082,2.64,951.36,1,20,0
34,BTC_USD,bullish,2024-01-12 00:00:00+00:00,2024-01-14 00:00:00+00:00,44422.905125,41978.639613540705,41986.139613540705,45884.964431875575,-1.0,-361.11,0,20,0
35,BTC_USD,bullish,2024-01-12 00:00:00+00:00,2024-01-18 00:00:00+00:00,43186.6479765625,41308.75026289961,41316.25026289961,44308.88660476023,-1.0,-361.44,0,20,0
36,EUR_NZD,bullish,2024-01-14 22:00:00+00:00,2024-01-16 22:00:00+00:00,1.757348,1.7732833924130535,1.7459586536429668,1.7641816078142198,1.4,503.69,1,15,0
37,AUD_CHF,bearish,2024-01-15 22:00:00+00:00,2024-01-17 22:00:00+00:00,0.5698156,0.5646093900226347,0.5738812723394985,0.5673761965963009,1.28,460.99,1,15,0
38,AUD_CAD,bearish,2024-01-15 22:00:00+00:00,2024-01-18 22:00:00+00:00,0.89443314,0.8854289554531214,0.9010912864483812,0.8904382521309712,1.35,486.85,1,14,0
39,USD_CHF,bearish,2024-01-15 22:00:00+00:00,2024-02-06 22:00:00+00:00,0.86039962,0.875639913500071,0.874889913500071,0.8517054438999575,-1.05,-378.63,0,15,0
40,GBP_CHF,bearish,2024-01-16 22:00:00+00:00,2024-02-12 22:00:00+00:00,1.0960249,1.1129226241134504,1.1121726241134504,1.0863362655319297,-1.05,-376.72,0,15,0
41,XAG_USD,bullish,2024-01-17 00:00:00+00:00,2024-01-22 00:00:00+00:00,22.77575065612793,22.311243718060116,22.318743718060116,23.04995481896862,-1.02,-365.91,0,14,0
42,SPX500_USD,bullish,2024-01-17 00:00:00+00:00,2024-01-25 00:00:00+00:00,4768.029,4917.421891124555,4711.264201843269,4802.087878894039,2.63,947.44,1,15,0
