period,month,trades,wins,win_rate,profit_r,profit_usd
final,2020-01,15,10,66.7,11.44,3776.72
final,2020-02,15,6,40.0,2.12,700.82
final,2020-03,78,40,51.3,30.08,9927.15
final,2020-04,40,14,35.0,-3.08,-1014.89
final,2020-05,42,23,54.8,19.66,6486.27
final,2020-06,43,28,65.1,32.21,10629.64
final,2020-07,45,21,46.7,5.49,1812.81
final,2020-08,75,49,65.3,47.07,15534.48
final,2020-09,87,28,32.2,-13.17,-4346.37
final,2020-10,63,31,49.2,13.34,4401.52
final,2020-11,8,7,87.5,10.67,3521.85
final,2020-12,9,8,88.9,13.71,4525.69
final,2021-01,11,9,81.8,14.08,4647.38
final,2021-02,12,3,25.0,-2.32,-764.29
final,2021-03,60,33,55.0,22.97,7578.49
final,2021-04,71,27,38.0,0.87,286.15
final,2021-05,52,24,46.2,6.47,2134.25
final,2021-06,95,35,36.8,-5.22,-1723.46
final,2021-07,98,42,42.9,11.52,3800.12
final,2021-08,83,38,45.8,7.53,2483.41
final,2021-09,65,31,47.7,15.28,5041.11
final,2021-10,43,21,48.8,13.79,4549.54
final,2021-11,28,7,25.0,-10.95,-3612.54
final,2021-12,18,7,38.9,2.49,821.9
final,2022-01,5,4,80.0,4.95,1632.94
final,2022-02,13,5,38.5,0.32,104.06
final,2022-03,50,24,48.0,11.55,3810.45
final,2022-04,66,28,42.4,5.0,1649.04
final,2022-05,87,51,58.6,46.59,15375.77
final,2022-06,67,42,62.7,49.05,16187.39
final,2022-07,70,34,48.6,17.21,5678.4
final,2022-08,86,52,60.5,53.99,17818.29
final,2022-09,85,47,55.3,43.25,14272.35
final,2022-10,60,17,28.3,-14.83,-4893.98
final,2022-11,34,10,29.4,-9.49,-3131.58
final,2022-12,2,2,100.0,2.91,960.58
final,TOTAL,1781,858,48.2,456.55,150661.44
