symbol,trades,wins,win_rate,profit_r,profit_usd,avg_r_per_trade
ETH_USD,63,42,66.7,58.25,19223.67,0.925
GBP_USD,55,36,65.5,40.66,13417.72,0.739
BTC_USD,85,44,51.8,40.23,13275.18,0.473
AUD_CAD,69,39,56.5,28.53,9415.19,0.413
EUR_JPY,57,32,56.1,27.61,9111.12,0.484
USD_CHF,62,34,54.8,23.23,7666.2,0.375
NAS100_USD,54,28,51.9,22.21,7328.46,0.411
SPX500_USD,70,35,50.0,20.68,6823.8,0.295
NZD_CAD,57,31,54.4,20.21,6668.5,0.355
GBP_AUD,63,32,50.8,19.88,6561.66,0.316
EUR_CHF,45,25,55.6,17.59,5804.81,0.391
XAU_USD,41,21,51.2,17.35,5726.26,0.423
GBP_NZD,70,34,48.6,16.89,5574.77,0.241
AUD_NZD,54,29,53.7,15.44,5094.13,0.286
USD_CAD,50,24,48.0,14.92,4925.11,0.298
GBP_CHF,37,20,54.1,14.9,4918.49,0.403
EUR_CAD,29,17,58.6,13.89,4583.19,0.479
XAG_USD,46,21,45.7,12.5,4124.37,0.272
CAD_JPY,44,22,50.0,11.39,3758.55,0.259
CHF_JPY,60,28,46.7,10.5,3463.63,0.175
EUR_NZD,53,24,45.3,7.89,2604.44,0.149
AUD_JPY,44,19,43.2,7.68,2533.79,0.175
GBP_JPY,44,18,40.9,6.21,2049.26,0.141
AUD_USD,66,28,42.4,5.46,1800.97,0.083
NZD_JPY,51,22,43.1,4.66,1536.83,0.091
AUD_CHF,53,21,39.6,3.81,1255.97,0.072
USD_JPY,13,6,46.2,3.17,1046.92,0.244
EUR_AUD,51,21,41.2,2.95,975.04,0.058
EUR_USD,57,22,38.6,2.71,895.86,0.048
EUR_GBP,55,22,40.0,-3.23,-1065.82,-0.059
NZD_USD,56,21,37.5,-3.98,-1312.41,-0.071
NZD_CHF,31,10,32.3,-5.31,-1753.64,-0.171
GBP_CAD,55,19,34.5,-6.85,-2261.35,-0.125
CAD_CHF,41,11,26.8,-15.48,-5109.23,-0.378
TOTAL,1781,858,48.2,456.55,150661.44,0.256
