Trade #,Challenge #,Challenge Step,Symbol,Direction,Confluence Score,Entry Date,Entry Price,Stop Loss Price,TP1 Price,TP2 Price,TP3 Price,TP4 Price,TP5 Price,Exit Date,Exit Price,TP1 Hit?,TP2 Hit?,TP3 Hit?,TP4 Hit?,TP5 Hit?,SL Hit?,Final Exit Reason,R Multiple,Profit/Loss USD,Result,Risk Pips,Holding Time (hours),Price Data Validated?,Validation Notes,Lot Size
1,1,1,NZD_USD,bullish,6/7,2024-01-02 22:00:00,0.62343006,0.6140366128775278,0.6290661282734834,0.6347021965469667,0.6422169542449445,0.6469136778061806,0.656307124928653,2024-01-15 22:00:00,0.6136866128775278,NO,NO,NO,NO,NO,NO,SL,-1.00R,$-800.00,LOSS,93.9,0.0,YES,Entry price validated against OANDA candle; Exit price validated against OANDA candle,0.85
2,1,1,GBP_AUD,bullish,9/7,2024-01-02 22:00:00,1.87058702,1.853471093601186,1.8808565758392886,1.891126131678577,1.9048188727976283,1.9133768359970353,1.9304927623958494,2024-01-11 22:00:00,1.8973657633421204,NO,NO,NO,NO,NO,NO,TP3+Trail,+1.56R,$+1251.64,WIN,171.2,0.0,NO,Entry price validated against OANDA candle; Exit price 1.8973657633421204 outside candle range [1.89862-1.90894],0.47
3,1,1,GBP_NZD,bullish,8/7,2024-01-02 22:00:00,2.0169395,2.000212101377929,2.0269759391732425,2.037012378346485,2.0503942972441416,2.058757996555177,2.075485395177248,2024-01-04 22:00:00,2.034320542539395,NO,NO,NO,NO,NO,NO,TP2+Trail,+1.04R,$+831.26,WIN,167.3,0.0,YES,Entry price validated against OANDA candle; Exit price validated against OANDA candle,0.48
4,1,1,XAU_USD,bullish,6/7,2024-01-02 22:00:00,2032.3981199999998,2006.5001814649406,2047.9368831210354,2063.475646242071,2084.1939970701183,2097.142966337648,2123.040904872707,2024-01-04 22:00:00,2033.9169963121035,NO,NO,NO,NO,NO,NO,TP1+Trail,+0.06R,$+46.92,WIN,2589.8,0.0,YES,Entry price validated against OANDA candle; Exit price validated against OANDA candle,0.31
5,1,1,SPX500_USD,bullish,6/7,2024-01-02 22:00:00,4714.1,4628.4372178288,4765.49766930272,4816.89533860544,4885.4255643424,4928.256955428,5013.919737599201,2024-01-29 22:00:00,4894.070156470376,NO,NO,NO,NO,NO,NO,TP4+Trail,+2.10R,$+1680.73,WIN,856.6,0.0,NO,Entry price validated against OANDA candle; Exit price 4894.070156470376 outside candle range [4907.5-4931.6],9.34
6,1,1,BTC_USD,bullish,9/7,2024-01-02 22:00:00,43396.5476,40963.54803628258,44856.34733823045,46316.147076460904,48262.54672743484,49479.04650929355,51912.04607301098,2024-01-08 22:00:00,45972.02713754047,NO,NO,NO,NO,NO,NO,TP2+Trail,+1.06R,$+846.85,WIN,2433.0,0.0,YES,Entry price validated against OANDA candle; Exit price validated against OANDA candle,0.33
7,1,1,EUR_AUD,bullish,6/7,2024-01-03 22:00:00,1.62351632,1.6080373699768247,1.6328036900139051,1.6420910600278105,1.6544742200463507,1.6622136950579383,1.6776926450811138,2024-01-11 22:00:00,1.639574007024566,NO,NO,NO,NO,NO,NO,TP2+Trail,+1.04R,$+829.91,WIN,154.8,0.0,YES,Entry price validated against OANDA candle; Exit price validated against OANDA candle,0.52
8,1,1,GBP_JPY,bullish,11/7,2024-01-03 22:00:00,182.284532,177.42262829262617,185.20167422442432,188.11881644884863,192.0083394147477,194.4392912684346,199.30119497580847,2024-01-17 22:00:00,187.4031499298163,NO,NO,NO,NO,NO,NO,TP2+Trail,+1.05R,$+842.24,WIN,486.2,0.0,YES,Entry price validated against OANDA candle; Exit price validated against OANDA candle,0.01
9,1,1,GBP_CAD,bullish,7/7,2024-01-03 22:00:00,1.694656,1.6688502852169171,1.7101394288698497,1.7256228577396993,1.7462674295661655,1.759170286957707,1.7849760017407896,2024-02-04 22:00:00,1.695854342886985,NO,NO,NO,NO,NO,NO,TP1+Trail,+0.05R,$+37.15,WIN,258.1,0.0,YES,Entry price validated against OANDA candle; Exit price validated against OANDA candle,0.31
10,1,1,GBP_NZD,bullish,5/7,2024-01-03 22:00:00,2.0194989,2.0032254748136675,2.029262955111799,2.039027010223599,2.0520457503726646,2.0601824629658307,2.076455888152163,2024-01-07 22:00:00,2.036398730697512,NO,NO,NO,NO,NO,NO,TP2+Trail,+1.04R,$+830.79,WIN,162.7,0.0,YES,Entry price validated against OANDA candle; Exit price validated against OANDA candle,0.49
11,1,1,AUD_CAD,bullish,6/7,2024-01-03 22:00:00,0.89488452,0.8883128550722259,0.8988275189566644,0.9027705179133289,0.9080278498555481,0.9113136823194351,0.9178853472472092,2024-01-08 22:00:00,0.8949288198956664,NO,NO,NO,NO,NO,NO,TP1+Trail,+0.01R,$+5.39,WIN,65.7,0.0,YES,Entry price validated against OANDA candle; Exit price validated against OANDA candle,1.22
12,1,1,SPX500_USD,bullish,5/7,2024-01-03 22:00:00,4705.4866,4628.385872697426,4751.747036381545,4798.007472763089,4859.688054605149,4898.2384182564365,4975.33914555901,2024-01-11 22:00:00,4786.8633709407295,NO,NO,NO,NO,NO,NO,TP2+Trail,+1.06R,$+844.37,WIN,771.0,0.0,YES,Entry price validated against OANDA candle; Exit price validated against OANDA candle,10.38
