trade_id,symbol,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,lot_size,risk_usd,commission,gross_pnl,net_pnl,final_r,risk_pct_used,lot_multiplier,tp1_hit,tp2_hit,tp3_hit
SPX500_USD_1,SPX500_USD,bullish,2023-01-06 00:00:00,2023-01-10 12:00:00,3874.5575,3875.3,TP1+Trail,4.59,540.32,0.0,113.4672,113.4672,0.21,0.9,1.5,True,False,False
XAG_USD_4,XAG_USD,bearish,2023-01-13 00:00:00,2023-01-13 14:00:00,24.04409620285034,24.063,TP1+Trail,0.15,553.34,0.6,116.2014,115.60140000000001,0.21,0.945,1.575,True,False,False
XAG_USD_0,XAG_USD,bearish,2023-01-05 00:00:00,2023-01-16 01:00:00,23.341060047149657,24.4925,SL,0.1,545.19,0.4,-545.19,-545.59,-1.0,0.9,1.5,False,False,False
XAG_USD_6,XAG_USD,bullish,2023-01-24 00:00:00,2023-01-26 15:00:00,23.530000686645508,23.764,TP2+Trail,0.18,534.58,0.72,383.2938599999994,382.5738599999994,0.7169999999999989,0.9,1.5,True,True,False
XAG_USD_5,XAG_USD,bullish,2023-01-24 00:00:00,2023-01-27 08:00:00,23.629685985565185,23.705,TP1+Trail,0.16,549.82,0.64,115.46220000000001,114.82220000000001,0.21,0.9,1.5,True,False,False
NAS100_USD_3,NAS100_USD,bearish,2023-01-12 00:00:00,2023-02-01 20:00:00,11499.3635,12365.6,SL,0.67,565.57,0.0,-565.57,-565.57,-1.0,0.945,1.575,False,False,False
XAG_USD_12,XAG_USD,bullish,2023-02-02 00:00:00,2023-02-02 16:00:00,23.629685985565185,23.5505,TP1+Trail,0.11,535.43,0.44,112.44029999999998,112.00029999999998,0.21,0.9,1.5,True,False,False
XAU_USD_13,XAU_USD,bullish,2023-02-03 00:00:00,2023-02-03 13:00:00,1895.398594238281,1886.85,TP1+Trail,0.18,563.14,0.72,118.2594,117.5394,0.21,0.945,1.575,True,False,False
ETH_USD_7,ETH_USD,bullish,2023-01-29 22:00:00,2023-02-06 05:00:00,1616.492167724609,1621.97,TP1+Trail,4.62,596.29,0.0,125.22089999999999,125.22089999999999,0.21,0.99,1.6500000000000001,True,False,False
ETH_USD_11,ETH_USD,bullish,2023-02-01 00:00:00,2023-02-06 05:00:00,1616.492167724609,1621.97,TP1+Trail,4.57,595.43,0.0,125.04029999999999,125.04029999999999,0.21,0.99,1.6500000000000001,True,False,False
ETH_USD_14,ETH_USD,bullish,2023-02-05 22:00:00,2023-02-09 03:00:00,1616.492167724609,1619.39,TP1+Trail,4.54,592.18,0.0,124.35779999999998,124.35779999999998,0.21,0.99,1.6500000000000001,True,False,False
ETH_USD_17,ETH_USD,bearish,2023-02-15 00:00:00,2023-02-16 15:00:00,1608.9225998535155,1724.2,SL,5.46,649.79,0.0,-649.79,-649.79,-1.0,1.08,1.8000000000000003,False,False,False
SPX500_USD_2,SPX500_USD,bullish,2023-01-09 00:00:00,2023-02-24 13:00:00,3968.793,3962.4,TP1+Trail,2.55,539.56,0.0,113.30759999999998,113.30759999999998,0.21,0.9,1.5,True,False,False
BTC_USD_8,BTC_USD,bullish,2023-01-29 22:00:00,2023-02-24 16:00:00,23096.53470703125,23198.0,TP1+Trail,0.21,589.51,0.0,123.7971,123.7971,0.21,0.99,1.6500000000000001,True,False,False
BTC_USD_9,BTC_USD,bullish,2023-01-30 00:00:00,2023-02-24 16:00:00,23096.53470703125,23198.0,TP1+Trail,0.21,592.52,0.0,124.4292,124.4292,0.21,0.99,1.6500000000000001,True,False,False
BTC_USD_10,BTC_USD,bullish,2023-01-31 00:00:00,2023-02-24 16:00:00,23139.283203125,23198.0,TP1+Trail,0.21,600.25,0.0,126.0525,126.0525,0.21,0.99,1.6500000000000001,True,False,False
NAS100_USD_18,NAS100_USD,bearish,2023-02-16 00:00:00,2023-03-02 01:00:00,12655.559,11855.6,TP3,1.57,649.1,0.0,878.8814,878.8814,1.3539999999999999,1.08,1.8000000000000003,True,True,True
ETH_USD_22,ETH_USD,bullish,2023-02-26 22:00:00,2023-03-03 01:00:00,1570.6920576171874,1554.72,TP1+Trail,5.19,648.13,0.0,136.10729999999998,136.10729999999998,0.21,1.08,1.8000000000000003,True,False,False
XAU_USD_15,XAU_USD,bearish,2023-02-09 00:00:00,2023-03-10 15:00:00,1862.8517604980468,1863.155,TP1+Trail,0.07,616.1,0.28,129.381,129.101,0.21,1.08,1.8000000000000003,True,False,False
SPX500_USD_16,SPX500_USD,bullish,2023-02-10 00:00:00,2023-03-10 18:00:00,4065.119,3850.2,SL,3.39,649.83,0.0,-649.83,-649.83,-1.0,1.08,1.8000000000000003,False,False,False
BTC_USD_25,BTC_USD,bullish,2023-03-12 21:00:00,2023-03-12 21:00:00,22163.94921875,20095.0,SL,0.27,545.42,0.0,-545.42,-545.42,-1.0,0.9,1.5,False,False,False
NZD_USD_35,NZD_USD,bearish,2023-03-12 21:00:00,2023-03-13 02:00:00,0.6199438199999999,0.61978,TP1+Trail,0.58,544.15,2.32,114.27149999999999,111.9515,0.21,0.9,1.5,True,False,False
GBP_NZD_26,GBP_NZD,bullish,2023-03-12 21:00:00,2023-03-13 08:00:00,1.9428452,1.95242,TP2+Trail,0.33,552.51,1.32,396.1496699999993,394.8296699999993,0.7169999999999987,0.9,1.5,True,True,False
EUR_JPY_29,EUR_JPY,bullish,2023-03-12 21:00:00,2023-03-13 08:00:00,143.533402,143.276,TP1+Trail,0.01,1237.97,0.04,259.9737,259.9337,0.21,0.9,1.5,True,False,False
EUR_NZD_30,EUR_NZD,bullish,2023-03-12 21:00:00,2023-03-13 08:00:00,1.71933652,1.72771,TP2+Trail,0.34,550.79,1.36,394.91643000000136,393.55643000000134,0.7170000000000025,0.9,1.5,True,True,False
USD_JPY_37,USD_JPY,bullish,2023-03-12 21:00:00,2023-03-13 09:00:00,133.295704,133.236,TP1+Trail,0.28,553.62,1.12,116.2602,115.1402,0.21,0.9,1.5,True,False,False
NAS100_USD_19,NAS100_USD,bullish,2023-02-21 00:00:00,2023-03-13 09:00:00,12123.69,11890.0,SAFETY_DAILY_DD_7.6%,0.9,537.33,0.0,-210.31936937331193,-210.31936937331193,-0.39141564657345007,0.9,1.5,False,False,False
NAS100_USD_20,NAS100_USD,bullish,2023-02-23 00:00:00,2023-03-13 09:00:00,12123.69,11890.0,SAFETY_DAILY_DD_7.6%,0.9,535.04,0.0,-210.3210480351003,-210.3210480351003,-0.3930940640608184,0.9,1.5,False,False,False
ETH_USD_21,ETH_USD,bearish,2023-02-24 00:00:00,2023-03-13 09:00:00,1608.3731689453125,1608.3731689453125,SAFETY_DAILY_DD_7.6%,3.6,535.95,0.0,237.96179999999998,237.96179999999998,0.44399999999999995,0.9,1.5,True,True,False
XAU_USD_23,XAU_USD,bearish,2023-03-03 00:00:00,2023-03-13 09:00:00,1845.6864301757807,1886.02,SAFETY_DAILY_DD_7.6%,0.05,601.89,0.2,-201.6668409419808,-201.8668409419808,-0.335055975247937,1.08,1.8000000000000003,False,False,False
ETH_USD_24,ETH_USD,bearish,2023-03-12 21:00:00,2023-03-13 09:00:00,1582.8960219726562,1582.8960219726562,SAFETY_DAILY_DD_7.6%,4.67,545.24,0.0,242.08655999999996,242.08655999999996,0.44399999999999995,0.9,1.5,True,True,False
GBP_NZD_27,GBP_NZD,bullish,2023-03-12 21:00:00,2023-03-13 09:00:00,1.9455383,1.95696,SAFETY_DAILY_DD_7.6%,0.25,543.15,1.0,299.6642648842452,298.6642648842452,0.5517154835390687,0.9,1.5,True,False,False
CHF_JPY_28,CHF_JPY,bullish,2023-03-12 21:00:00,2023-03-13 09:00:00,145.33184,145.834,SAFETY_DAILY_DD_7.6%,0.01,1418.94,0.04,624.3803957903418,624.3403957903419,0.44003297940035646,0.9,1.5,True,False,False
EUR_GBP_31,EUR_GBP,bullish,2023-03-12 21:00:00,2023-03-13 09:00:00,0.8799350199999999,0.8836,SAFETY_DAILY_DD_7.6%,0.76,545.53,3.04,295.6107686084248,292.57076860842477,0.5418781159760688,0.9,1.5,True,False,False
EUR_GBP_32,EUR_GBP,bullish,2023-03-12 21:00:00,2023-03-13 09:00:00,0.8817915399999999,0.8836,SAFETY_DAILY_DD_7.6%,0.6,545.02,2.4,108.50795081882923,106.10795081882922,0.19908985141614846,0.9,1.5,False,False,False
GBP_JPY_33,GBP_JPY,bullish,2023-03-12 21:00:00,2023-03-13 09:00:00,161.996972,160.898,SAFETY_DAILY_DD_7.6%,0.01,2189.37,0.04,-1098.9722939734481,-1099.012293973448,-0.501958231807985,0.9,1.5,False,False,False
GBP_JPY_34,GBP_JPY,bullish,2023-03-12 21:00:00,2023-03-13 09:00:00,162.215,160.898,SAFETY_DAILY_DD_7.6%,0.01,2417.9,0.04,-1316.9974171547917,-1317.0374171547917,-0.5446864705549409,0.9,1.5,False,False,False
NZD_CAD_36,NZD_CAD,bullish,2023-03-12 21:00:00,2023-03-13 09:00:00,0.84772966,0.84991,SAFETY_DAILY_DD_7.6%,0.68,544.85,2.72,148.2625456993862,145.5425456993862,0.27211626263996735,0.9,1.5,False,False,False
ETH_USD_38,ETH_USD,bearish,2023-03-13 00:00:00,2023-03-13 09:00:00,1619.3493232421874,1619.3493232421874,SAFETY_DAILY_DD_7.6%,6.94,539.76,0.0,0.0,0.0,0.0,0.9,1.5,False,False,False
BTC_USD_39,BTC_USD,bearish,2023-03-13 00:00:00,2023-03-13 09:00:00,22910.16466015625,22910.16466015625,SAFETY_DAILY_DD_7.6%,0.22,545.26,0.0,0.0,0.0,0.0,0.9,1.5,False,False,False
BTC_USD_40,BTC_USD,bearish,2023-03-13 00:00:00,2023-03-13 09:00:00,22392.53227734375,22392.53227734375,SAFETY_DAILY_DD_7.6%,0.18,544.12,0.0,0.0,0.0,0.0,0.9,1.5,False,False,False
XAG_USD_41,XAG_USD,bearish,2023-03-13 00:00:00,2023-03-13 09:00:00,21.393060123443604,20.83115,SAFETY_DAILY_DD_7.6%,0.15,537.82,0.6,386.87398722393846,386.27398722393843,0.7193373010002202,0.9,1.5,True,False,False
XAG_USD_42,XAG_USD,bearish,2023-03-13 00:00:00,2023-03-13 09:00:00,21.185558467864997,20.83115,SAFETY_DAILY_DD_7.6%,0.11,518.66,0.44,235.620577332672,235.18057733267202,0.4542871579313462,0.9,1.5,True,False,False
EUR_USD_44,EUR_USD,bearish,2023-03-14 21:00:00,2023-03-14 21:00:00,1.06367652,1.07324,SL,0.61,605.7,2.44,-605.7,-608.1400000000001,-1.0,0.99,1.6500000000000001,False,False,False
