Symbol,Trades,Wins,Win Rate %,Total R,Profit USD
SPX500_USD,24,21,87.5,+25.6,"$+1,331.73"
GBP_CAD,19,13,68.4,+13.0,$+685.01
EUR_CAD,13,11,84.6,+12.1,$+645.23
EUR_USD,14,9,64.3,+5.9,$+274.10
GBP_USD,11,6,54.5,+3.6,$+169.55
GBP_NZD,2,2,100.0,+2.9,$+145.00
ETH_USD,16,7,43.8,+2.4,$+105.37
EUR_AUD,4,2,50.0,+2.2,$+110.00
AUD_NZD,1,1,100.0,+1.1,$+55.00
EUR_GBP,2,1,50.0,+1.1,$+55.00
NAS100_USD,1,1,100.0,+1.1,$+55.00
EUR_NZD,1,1,100.0,+1.1,$+55.00
CHF_JPY,1,1,100.0,+1.1,$+55.00
EUR_JPY,2,1,50.0,+1.1,$+55.00
GBP_JPY,2,1,50.0,+0.1,$+5.00
CAD_JPY,1,0,0.0,+0.0,$+0.00
AUD_USD,1,0,0.0,+0.0,$+0.00
NZD_JPY,5,1,20.0,-0.9,$-45.00
AUD_JPY,3,1,33.3,-0.9,$-45.00
GBP_CHF,3,0,0.0,-1.0,$-50.00
AUD_CAD,1,0,0.0,-1.0,$-50.00
XAG_USD,1,0,0.0,-1.0,$-50.00
GBP_AUD,1,0,0.0,-1.0,$-50.00
AUD_CHF,2,0,0.0,-2.0,$-100.00
CAD_CHF,2,0,0.0,-2.0,$-100.00
USD_JPY,2,0,0.0,-2.0,$-100.00
USD_CHF,2,0,0.0,-2.0,$-100.00
USD_CAD,2,0,0.0,-2.0,$-100.00
EUR_CHF,2,0,0.0,-2.0,$-100.00
NZD_CHF,3,0,0.0,-3.0,$-150.00
NZD_CAD,21,6,28.6,-5.4,$-311.28
NZD_USD,18,2,11.1,-8.8,$-492.25
